id,en,zh
react.desc,"React is a declarative, efficient, and flexible JavaScript library for building user interfaces, maintained by Facebook. At Xanthous Tech, we use React to build user-facing part of the project, on browsers and mobile devices.",React是Facebook开源的UI框架。
graphql.desc,"GraphQL is a query language and execution engine tied to any backend service maintained by Facebook. At Xanthous we use GraphQL extensively to build production grade projects with rich data presentation, which effectively provide smooth collaboration between frontend and backend developers.",GraphQL是Facebook制定的数据查询语言规范。
apollo.desc,"The Apollo GraphQL platform is an implementation of GraphQL that helps you manage data from the cloud to your UI. It’s incrementally adoptable and can be layered over your existing services, including REST APIs and databases. Apollo includes two open-source libraries for the client and server, in addition to developer tooling that provides everything you need to run a graph API in production with confidence.","Apollo"
styled components.desc,"Utilising tagged template literals (a recent addition to JavaScript) and the power of CSS, styled-components allows you to write actual CSS code to style your components. It also removes the mapping between components and styles – using components as a low-level styling construct could not be easier!","Styled Components"
loopback.desc,"LoopBack is a highly-extensible, open-source Node.js framework that enables you to create dynamic end-to-end REST APIs with little or no coding.","loopback"
lombok.desc,"Project Lombok is a java library that automatically plugs into your editor and build tools, spicing up your java. Never write another getter or equals method again, with one annotation your class has a fully featured builder, Automate your logging variables, and much more.","lombok"
typeorm.desc,"TypeORM is an ORM that can run in NodeJS, Browser, Cordova, PhoneGap, Ionic, React Native, NativeScript, Expo, and Electron platforms and can be used with TypeScript and JavaScript (ES5, ES6, ES7, ES8). Its goal is to always support the latest JavaScript features and provide additional features that help you to develop any kind of application that uses databases - from small applications with a few tables to large scale enterprise applications with multiple databases.","typeorm"
grpc.desc,"gRPC is a high-performance, open-source universal RPC framework by Google. At Xanthous Tech, we use gRPC to construct microservice architecture coordinating between different backend programming languages, without sacrificing individual developer productivity and happiness.",gRPC是谷歌开源的一个RPC框架。
aws.desc,"Amazon Web Services offers reliable, scalable, and inexpensive cloud computing services. At Xanthous Tech, we have several AWS Solutions Architects with deep knowledge on how to effectively build and maintain AWS Stacks to achieve their full potential, and scale out as needed.",亚马逊云服务AWS是行业领先的云服务。
aws lambda.desc,"AWS Lambda is a core computing unit in the AWS Serverless Stack. At Xanthous Tech, we know how to effectively use AWS Lambda to build complex serverless data pipelines at low cost.",AWS Lambda是亚马逊云服务推出的无服务器云函数组件。
aws appsync.desc,"AWS AppSync","AWS AppSync"
spring boot.desc,"Spring Boot","Spring Boot"
reactor.desc,"Reactor",Reactor
elasticsearch.desc,"Elasticsearch is a distributed document-based search and analytics engine that is capable of processing millions of records of full-text documents. At Xanthous we help a lot of our clients build performant data analytics pipeline and search engine using Elasticsearch and capable of optimizing and managing large Elasticsearch clusters.","Elasticsearch"
